FirstName,LastName,SamAccountName,UserPrincipalName,Path,Password,Description,Group
"Recursos Humanos 01","",rh01,rh01@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd01!","Cuenta de usuario para Recursos Humanos 01","RRHH"
"Recursos Humanos 02","",rh02,rh03@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd02!","Cuenta de usuario para Recursos Humanos 02","RRHH"
"Recursos Humanos 03","",rh03,rh03@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd03!","Cuenta de usuario para Recursos Humanos 03","RRHH"
"Recursos Humanos 04","",rh04,rh04@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd04!","Cuenta de usuario para Recursos Humanos 04","RRHH"
"Recursos Humanos 05","",rh05,rh05@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd05!","Cuenta de usuario para Recursos Humanos 05","RRHH"
"Dirección 01","",direccion01,direccion01@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd06!","Cuenta de usuario para Dirección 01","Direccion"
"Dirección 02","",direccion02,direccion03@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd07!","Cuenta de usuario para Dirección 02","Direccion"
"Dirección 03","",direccion03,direccion03@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd08!","Cuenta de usuario para Dirección 03","Direccion"
"Dirección 04","",direccion04,direccion04@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd09!","Cuenta de usuario para Dirección 04","Direccion"
"Dirección 05","",direccion05,direccion05@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd10!","Cuenta de usuario para Dirección 05","Direccion"
"Sistemas 01","",sistemas01,sistemas01@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd11!","Cuenta de usuario para Sistemas 01","Sistemas"
"Sistemas 02","",sistemas02,sistemas02@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd12!","Cuenta de usuario para Sistemas 02","Sistemas"
"Sistemas 03","",sistemas03,sistemas03@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd13!","Cuenta de usuario para Sistemas 03","Sistemas"
"Sistemas 04","",sistemas04,sistemas04@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd14!","Cuenta de usuario para Sistemas 04","Sistemas"
"Sistemas 05","",sistemas05,sistemas05@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd15!","Cuenta de usuario para Sistemas 05","Sistemas"
"Desarrollo 01","",desarrollo01,desarrollo01@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd16!","Cuenta de usuario para Desarrollo 01","Desarrollo"
"Desarrollo 02","",desarrollo02,desarrollo02@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd17!","Cuenta de usuario para Desarrollo 02","Desarrollo"
"Desarrollo 03","",desarrollo03,desarrollo03@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd18!","Cuenta de usuario para Desarrollo 03","Desarrollo"
"Desarrollo 04","",desarrollo04,desarrollo04@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd19!","Cuenta de usuario para Desarrollo 04","Desarrollo"
"Desarrollo 05","",desarrollo05,desarrollo05@devsecops.es,"CN=Users,DC=devsecops,DC=es","P@ssw0rd20!","Cuenta de usuario para Desarrollo 05","Desarrollo"
